Día,Desayuno,Snack/Merienda,Comida,Cena
"Lunes","Opcion 1: Leche desnatada + Galletas María + Fruta","Opcion 1: Pan (tres rodajas pequeñas) + Embutido","Garbanzos con bacalao y espinacas","Caldo de verduras + gallo a la plancha"
"Martes","Opcion 1: Leche desnatada + Galletas María + Fruta","Opcion 1: Pan (tres rodajas pequeñas) + Embutido","Purrusalda o puré de verduras","Sopa de verduras + bacalao plancha/horno"
"Miércoles","Opcion 3: Yogures desnatados + Tostada de pan + Queso blanco","Opcion 4: Leche desnatada","Ternera guisada + patatas asadas o cocindas","Caldo de verduras + lenguado plancha"
"Jueves","Opcion 2: Leche desnatada + Mermelada sin azúcar + Fruta","Opcion 2: Queso fresco","Ternera guisada + patatas asadas o cocindas","Revuelto de espárragos y gambas o setas"
"Viernes","Opcion 2: Leche desnatada + Mermelada sin azúcar + Fruta","Opcion 2: Queso fresco","Hamburguesa + acelgas o pisto","Caldo de verduras + lenguado plancha"
"Sábado","Opcion 2: Leche desnatada + Mermelada sin azúcar + Fruta","Opcion 3: Yogur desnatado","Macarrones con tomate y pechuga pollo","Revuelto de espárragos y gambas o setas"
"Domingo","Opcion 1: Leche desnatada + Galletas María + Fruta","Opcion 2: Queso fresco","Hamburguesa + acelgas o pisto","Tortilla francesa o patata al vapor/micro"
