Día,Desayuno,Snack/Merienda,Comida,Cena
"Lunes","Opcion 1: Leche desnatada + Galletas María + Fruta","Opcion 2: Queso fresco","Lentejas con verdura y arroz","Caldo de verduras + lenguado plancha"
"Martes","Opcion 3: Yogures desnatados + Tostada de pan + Queso blanco","Opcion 2: Queso fresco","Lentejas con verdura y arroz","Caldo de verduras + gallo a la plancha"
"Miércoles","Opcion 1: Leche desnatada + Galletas María + Fruta","Opcion 1: Pan (tres rodajas pequeñas) + Embutido","Lentejas con verdura y arroz","Caldo de verduras + lenguado plancha"
"Jueves","Opcion 1: Leche desnatada + Galletas María + Fruta","Opcion 3: Yogur desnatado","Ternera guisada + patatas asadas o cocindas","Tortilla francesa o patata al vapor/micro"
"Viernes","Opcion 2: Leche desnatada + Mermelada sin azúcar + Fruta","Opcion 2: Queso fresco","Parrilladas de verduras + pescado o carne","Caldo de verduras + gallo a la plancha"
"Sábado","Opcion 4: Leche desnatada + Cereales sin azúcar (copos de maíz) + Fruta","Opcion 1: Pan (tres rodajas pequeñas) + Embutido","Lentejas con verdura y arroz","Revuelto de espárragos y gambas o setas"
"Domingo","Opcion 4: Leche desnatada + Cereales sin azúcar (copos de maíz) + Fruta","Opcion 1: Pan (tres rodajas pequeñas) + Embutido","Pisto con huevo","Puré de calabaza o calabacín"
